"","Index","Global","Pairwise","n"
"1","BWT-FM","Backward Search","Banded Myers Bit Vector",1
"2","BWT-FM","Backward Search","HD",8
"3","BWT-FM","Backward Search","NW",1
"4","BWT-FM","Backward Search","SW",5
"5","BWT-FM","Backward Search","SW & NW",3
"6","BWT-FM","Chain of Seeds","SW & NW",1
"7","BWT-FM","Seed","Non-DP Heuristic",2
"8","BWT-FM","Seed","NW",1
"9","BWT-FM","Seed","SW",1
"10","BWT-FM","Seed","SW & NW",1
"11","BWT-FM","Seed","SW & Semi-Global",1
"12","BWT-ST","Seed","HD",1
"13","Hashing","Chain of Seeds","NW",1
"14","Hashing","Chain of Seeds",NA,1
"15","Hashing","Seed","Banded Myers Bit Vector",3
"16","Hashing","Seed","HD",11
"17","Hashing","Seed","Landau-Vishkin",1
"18","Hashing","Seed","Non-DP Heuristic",6
"19","Hashing","Seed","NW",11
"20","Hashing","Seed","Rabin-Karp Algorithm",1
"21","Hashing","Seed","Semi-Global",4
"22","Hashing","Seed","Sparse DP",3
"23","Hashing","Seed","SW",16
"24","Hashing","Seed","SW & NW",1
"25","Hashing","Seed",NA,1
"26","Suffix Array","","SW",1
"27","Suffix Array","Backward Search","SW",1
"28","Suffix Array","Seed","SW",5
"29","Suffix Tree","Backward Search","Banded Myers Bit Vector",1
